Content Tab,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab
Details,107639,Seascape - Nautilus 1,Belize,Edward Puglia,BLUEWAY - Seascape,"3.5 Miles North, PO Box 69 Ambergris Caye San Pedro Town Belize",3676,Lifetime: 90 // $110942,Eric Rowan (4/2016),-,All Clear,No Eyes: Property has never been inspected,-,Guest survey or other feedback received: ,-,-,-,-,-,-,107639,Seascape - Nautilus 1,Belize,Edward Puglia,BLUEWAY - Seascape,2006,-,25% non refundable if canceled within 75 days of arrival. 100% non refundable during holidays,23%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107639,Seascape - Nautilus 1,Belize,Edward Puglia,BLUEWAY - Seascape,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107669,Sea Forever,St. John,Edward Puglia,Catered To,Unnamed Road  St. John Chocolate Hole USVI 00830,3662,Lifetime: 29 // $30022,Mitch Spour (3/2016),-,All Clear,Green: Good condition - no or minimal issues noticed,20-Feb-16,Guest survey or other feedback received: welcome:all good,-,-,-,-,-,-,107669,Sea Forever,St. John,Edward Puglia,Catered To,2003,-,100% non refundable,20%,"50% Deposit, Full payment 80 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107669,Sea Forever,St. John,Edward Puglia,Catered To,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107671,Casa de Phoenix,Cabo San Lucas,Diana Soler,BLUEWAY - Casa de Phoenix,Unnamed Road  Baja California Sur Cabo San Lucas Mexico 23470,3662,Lifetime: 31 // $41507,Kirsten Schneider (3/2016),-,All Clear,Yellow: Minor villa condition issue(s) that can be controlled/fixed easily,11-Feb-16,"Guest survey or other feedback received: Wlcome Inspection: good report. 
- minor toiletrie issue",-,-,-,-,-,-,107671,Casa de Phoenix,Cabo San Lucas,Diana Soler,BLUEWAY - Casa de Phoenix,2006,-,25% non refundable if canceled within 75 days of arrival. 100% non refundable during holidays,23%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107671,Casa de Phoenix,Cabo San Lucas,Diana Soler,BLUEWAY - Casa de Phoenix,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107684,Avalon,Turks and Caicos,Mike Rollins,BLUEWAY - Avalon,Turks and Caicos Turtle Cove Turks and Caicos Islands TKCA 1ZZ,3653,Lifetime: 49 // $183263,Frederick Bouari (4/2016),-,All Clear,NO EYE: Property has never been inspected,-,Guest survey or other feedback received: ,-,-,-,-,-,-,107684,Avalon,Turks and Caicos,Mike Rollins,BLUEWAY - Avalon,2006,-,20% non refundable if canceled within 75 days of arrival. 100% non refundable during holidays,20%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107684,Avalon,Turks and Caicos,Mike Rollins,BLUEWAY - Avalon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107691,Sade,Tortola,Edward Puglia,Mclaughlin Anderson,Route 1  Tortola Belmont British Virgin Islands VG1130,3641,Lifetime: 15 // $34452,Julie Zefrani (12/2015),-,All Clear,-,-,-,-,-,-,-,-,-,107691,Sade,Tortola,Edward Puglia,Mclaughlin Anderson,2003,-,-,20%,-,-,-,-,-,-,-,-,-,-,-,107691,Sade,Tortola,Edward Puglia,Mclaughlin Anderson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107697,Delfina,St. John,Edward Puglia,Mclaughlin Anderson,Unnamed Road St. John Peter Bay USVI 00830,3631,Lifetime: 26 // $121543,Vladimir de Baghy (1/2016),-,CONSTRUCTION - NEIGHBOUR: First stage of new construction. ETA END: Jan 2017,Orange: Impactful issues were noticed at the property that would require labor to be resolved,18-Aug-15,"Onboarding Inspection: Inspection conducted to qualify if the property fits the portfolio. This occurs prior to listing: Inspector was David Sea Glass
-deck chairs old
-musty smell on lower level
-some carpets ola/stained
-very old kitchen sink
-BBQ needs deep clean
-indoor needs tlc",-,-,-,-,-,-,107697,Delfina,St. John,Edward Puglia,Mclaughlin Anderson,2003,-,-,20%,-,-,-,-,-,-,-,-,-,-,-,107697,Delfina,St. John,Edward Puglia,Mclaughlin Anderson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107699,Ulysse,French Riviera,Patrick Cosculluela,BLUEWAY - VIlla Ulysse,934 Avenue Leopol II Provence-Alpes-Cote D'Azur Villefranche-sur-Mer France 06230,3631,Lifetime: 36 // $277403,Kirsten Schneider (4/2016),-,All Clear,Green: Good condition - no or minimal issues noticed,29-Aug-15,Welcome Inspection: inspection conducted the day of an arrival couple of hours prior to guest check-in: all good,-,-,-,-,-,-,107699,Ulysse,French Riviera,Patrick Cosculluela,BLUEWAY - VIlla Ulysse,2006,-,100% non refundable,23%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107699,Ulysse,French Riviera,Patrick Cosculluela,BLUEWAY - VIlla Ulysse,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107709,La Maccinaia,Tuscany,Patrick Cosculluela,Salogi,Unnamed Rd Arezzo Bucine Italy 53013,3623,Lifetime: 13 // $43702,Ian Howie (2/2016),-,All Clear,-,-,-,-,-,-,-,-,-,107709,La Maccinaia,Tuscany,Patrick Cosculluela,Salogi,2004,-,50% non refundable if canceled within 65 days of arrival. 70% non refundable if canceled within 45 days of arrival,18%,"50% Deposit, Full payment 80 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107709,La Maccinaia,Tuscany,Patrick Cosculluela,Salogi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107710,Mansion Sophia,Santorini,Julie Belanger,BLUEWAY - Santorini Heritage Villas & Mansions,Eparchiaki Odos Firon-Ormou Perissis Santorini Megalochori Greece 847 00,3620,Lifetime: 5 // $6848,Online Sale (3/2016),-,All Clear,-,-,-,-,-,-,-,-,-,107710,Mansion Sophia,Santorini,Julie Belanger,BLUEWAY - Santorini Heritage Villas & Mansions,2005,-,100% non refundable,23%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107710,Mansion Sophia,Santorini,Julie Belanger,BLUEWAY - Santorini Heritage Villas & Mansions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107724,Destiny Villa,Jamaica,Edward Puglia,Doreen Walker,No address on file,3604,Lifetime: 6 // $18497,-,-,All Clear,-,-,-,-,-,-,-,-,-,107724,Destiny Villa,Jamaica,Edward Puglia,Doreen Walker,2006,-,20% non refundable if canceled within 75 days of arrival. 100% non refundable during holidays,23%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107724,Destiny Villa,Jamaica,Edward Puglia,Doreen Walker,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107731,Avalon by the Sea,Maui,Edward Puglia,BLUEWAY - Avalon by the Sea,212 Plantation Club Drive Hawaii Lahaina USA 96761,3585,Lifetime: 19 // $143161,Frederick Bouari (2/2016),-,PROPERTY FOR SALE: Property going on sale July 1st 2015.ETA END: UFN,Green: Good condition - no or minimal issues noticed,01-Mar-16,"Advance Inspection: inspection conducted days or couple of weeks prior to an arrival: Advance was done, wifi was not working at the time but has been confirmed to be working",-,-,-,-,-,-,107731,Avalon by the Sea,Maui,Edward Puglia,BLUEWAY - Avalon by the Sea,2006,-,30% non refundable if canceled within 75 days of arrival. 100% non refundable during holidays,30%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107731,Avalon by the Sea,Maui,Edward Puglia,BLUEWAY - Avalon by the Sea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107735,Kamaole Villa,Maui,Edward Puglia,BLUEWAY - Kamaole Villa,2284 S. Kihei Road Hawaii Kihei USA 96753,3583,Lifetime: 147 // $453510,Jeremie Comeau (3/2016),-,All Clear,Green: Good condition - no or minimal issues noticed,03-Apr-16,Welcome Inspection: inspection conducted the day of an arrival couple of hours prior to guest check-in: All good as per report,-,-,-,-,-,-,107735,Kamaole Villa,Maui,Edward Puglia,BLUEWAY - Kamaole Villa,2006,-,20% non refundable if canceled within 75 days of arrival. 100% non refundable during holidays,20%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107735,Kamaole Villa,Maui,Edward Puglia,BLUEWAY - Kamaole Villa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107736,Wailea Sun & Sea Estate,Maui,Edward Puglia,BLUEWAY - Elite Pacific Properties,3068 S. Kihei Road Hawaii Kihei USA,699,Lifetime: 44 // $132306,Jay Lunan (4/2016),-,All Clear,Yellow: Minor villa condition issue(s) that can be controlled/fixed easily,21-Mar-16,Guest survey or other feedback received: Smells still remaing lightly around kitchen. Spa lights did not work,-,-,-,-,-,-,107736,Wailea Sun & Sea Estate,Maui,Edward Puglia,BLUEWAY - Elite Pacific Properties,2014,-,20% non refundable if canceled within 75 days of arrival. 100% non refundable during holidays,20%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107736,Wailea Sun & Sea Estate,Maui,Edward Puglia,BLUEWAY - Elite Pacific Properties,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107768,Casa Nalum,Riviera Maya,Diana Soler,BLUEWAY - Casa Nalum,Unnamed Road  Quintana Roo Sian Kaan Mexico 77780,3561,Lifetime: 72 // $227744,Emma Guezen (12/2015),-,All Clear,Green: Good condition - no or minimal issues noticed,27-Apr-16,Guest survey or other feedback received: VIP Welcome:property is in good condition.,-,-,-,-,-,-,107768,Casa Nalum,Riviera Maya,Diana Soler,BLUEWAY - Casa Nalum,2006,-,-,23%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107768,Casa Nalum,Riviera Maya,Diana Soler,BLUEWAY - Casa Nalum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107777,Thousand Waves,Maui,Edward Puglia,BLUEWAY - Thousand Waves,20 Kai Ala Drive Hawaii Ka'anapali USA 96761,3556,Lifetime: 46 // $577665,Frederick Bouari (4/2016),-,"VILLA POLICIES: Construction near villa postponed until June, waiting on updates from PMC and Home E regarding special terms for discount. ETA END: UFN",Green: Good condition - no or minimal issues noticed,31-Mar-16,Welcome Inspection: inspection conducted the day of an arrival couple of hours prior to guest check-in: All good as per report,-,-,-,-,-,-,107777,Thousand Waves,Maui,Edward Puglia,BLUEWAY - Thousand Waves,2006,-,20% non refundable if canceled within 95 days of arrival. 100% non refundable during holidays,20%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107777,Thousand Waves,Maui,Edward Puglia,BLUEWAY - Thousand Waves,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107780,El Cid,Costa del Sol,Patrick Cosculluela,BLUEWAY - Del Sol Villas,Unnamed Road  Marbella Los Flamingos Spain 29679,3555,Lifetime: 25 // $130050,Diandra Berman (12/2015),-,All Clear,Green: Good condition - no or minimal issues noticed,10-Mar-16,"Advance Inspection: inspection conducted days or couple of weeks prior to an arrival: toiletries, chlorine smell near indoor pool, and bedroom 5 was occupied during inspection",-,-,-,-,-,-,107780,El Cid,Costa del Sol,Patrick Cosculluela,BLUEWAY - Del Sol Villas,2004,-,100% non refundable,20%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107780,El Cid,Costa del Sol,Patrick Cosculluela,BLUEWAY - Del Sol Villas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107788,(H) Jewel of the Heavenly Sea,Maui,Edward Puglia,BLUEWAY - Jewel of the Heavenly Sea,No address on file,1369,Lifetime: 22 // $275251,-,-,All Clear,Green: Good condition - no or minimal issues noticed,-,Guest survey or other feedback received: ,-,-,-,-,-,-,107788,(H) Jewel of the Heavenly Sea,Maui,Edward Puglia,BLUEWAY - Jewel of the Heavenly Sea,2012,-,20% non refundable if canceled within 75 days of arrival. 100% non refundable during holidays,20%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107788,(H) Jewel of the Heavenly Sea,Maui,Edward Puglia,BLUEWAY - Jewel of the Heavenly Sea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107789,Milord,Barbados,Edward Puglia,BLUEWAY - West Coast Villas,Highway 1 St. James Fitts Village Barbados BB24002,3550,Lifetime: 37 // $71190,Eric Rowan (4/2016),-,All Clear,NO EYE: Property has never been inspected,-,Guest survey or other feedback received: ,-,-,-,-,-,-,107789,Milord,Barbados,Edward Puglia,BLUEWAY - West Coast Villas,2003,-,100% non refundable,23%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107789,Milord,Barbados,Edward Puglia,BLUEWAY - West Coast Villas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107790,Villa Gauguin,Riviera Maya,Diana Soler,BLUEWAY - Villa Gauguin,Unnamed Road  Quintana Roo Akumal Mexico 77710,3550,Lifetime: 23 // $39017,Diandra Berman (2/2016),-,All Clear,Yellow: Minor villa condition issue(s) that can be controlled/fixed easily,03-Dec-15,-,-,-,-,-,-,-,107790,Villa Gauguin,Riviera Maya,Diana Soler,BLUEWAY - Villa Gauguin,2006,-,25% non refundable if canceled within 75 days of arrival. 100% non refundable during holidays,23%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107790,Villa Gauguin,Riviera Maya,Diana Soler,BLUEWAY - Villa Gauguin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107792,Blue Vista,St. Croix,Edward Puglia,Vacation St. Croix,No address on file,3549,Lifetime: 26 // $35253,Bianca Daniell (2/2016),-,All Clear,No Eyes: Property has never been inspected,-,Guest survey or other feedback received: ,-,-,-,-,-,-,107792,Blue Vista,St. Croix,Edward Puglia,Vacation St. Croix,2003,-,40% non refundable if canceled within 50 days of arrival. 100% non refundable during holidays,20%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107792,Blue Vista,St. Croix,Edward Puglia,Vacation St. Croix,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107807,Villa Paradiso,Jamaica,Edward Puglia,BLUEWAY - Villa Paradiso,Richmond Hill Road Saint Ann Parish Mammee Bay Jamaica JMCAN00,3534,Lifetime: 28 // $98812,Mani Chanmany (4/2016),-,All Clear,Green: Good condition - no or minimal issues noticed,30-Jan-16,Guest survey or other feedback received: Welcome Inspection: no issues.,-,-,-,-,-,-,107807,Villa Paradiso,Jamaica,Edward Puglia,BLUEWAY - Villa Paradiso,2006,-,25% non refundable if canceled within 75 days of arrival. 100% non refundable during holidays,23%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107807,Villa Paradiso,Jamaica,Edward Puglia,BLUEWAY - Villa Paradiso,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107816,Snow Ridge Estate,Whistler (BC),Alana Hanks,BLUEWAY - Snow Ridge Estate,Snowridge Crescent  British Columbia Whistler Canada V0N 1B6,3522,Lifetime: 18 // $72602,Sarah Rose Walder (6/2015),-,All Clear,No Eyes: Property has never been inspected,-,Guest survey or other feedback received: ,-,-,-,-,-,-,107816,Snow Ridge Estate,Whistler (BC),Alana Hanks,BLUEWAY - Snow Ridge Estate,2006,-,20% non refundable if canceled within 75 days of arrival. 100% non refundable during holidays,20%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107816,Snow Ridge Estate,Whistler (BC),Alana Hanks,BLUEWAY - Snow Ridge Estate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107820,Infinity,Anguilla,Edward Puglia,BLUEWAY - Sheriva Estates (Luxury Villa Hotel),Unnamed Road Sheriva Estate Anguilla Cove Bay British West Indies AI-2640,3518,Lifetime: 11 // $83478,Richard Spence (8/2015),-,All Clear,-,-,-,-,-,-,-,-,-,107820,Infinity,Anguilla,Edward Puglia,BLUEWAY - Sheriva Estates (Luxury Villa Hotel),2006,-,30% non refundable if canceled within 75 days of arrival. 100% non refundable during holidays,22%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107820,Infinity,Anguilla,Edward Puglia,BLUEWAY - Sheriva Estates (Luxury Villa Hotel),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107823,Harmony,Anguilla,Edward Puglia,BLUEWAY - Sheriva Estates (Luxury Villa Hotel),Unnamed Road Sheriva Estate Anguilla Cove Bay British West Indies AI-2640,3514,Lifetime: 11 // $85220,-,-,All Clear,NO EYE: Property has never been inspected,16-Dec-15,Guest survey or other feedback received: Welcome:all good,-,-,-,-,-,-,107823,Harmony,Anguilla,Edward Puglia,BLUEWAY - Sheriva Estates (Luxury Villa Hotel),2006,-,30% non refundable if canceled within 75 days of arrival. 100% non refundable during holidays,22%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107823,Harmony,Anguilla,Edward Puglia,BLUEWAY - Sheriva Estates (Luxury Villa Hotel),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107824,Schooner Bay 207,Barbados,Edward Puglia,Blue Sky Luxury,Alms Gap St. Peter Speightstown Barbados BB26013,3513,Lifetime: 14 // $31612,Emma Guezen (1/2016),-,All Clear,NO EYE: Property has never been inspected,-,Guest survey or other feedback received: ,-,-,-,-,-,-,107824,Schooner Bay 207,Barbados,Edward Puglia,Blue Sky Luxury,2003,-,20% non refundable if canceled within 75 days of arrival. 100% non refundable during holidays,20%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107824,Schooner Bay 207,Barbados,Edward Puglia,Blue Sky Luxury,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107825,Mystique,Anguilla,Edward Puglia,BLUEWAY - Sheriva Estates (Luxury Villa Hotel),Unnamed Road  Sheriva Estate Anguilla Cove Bay British West Indies AI-2640,3513,Lifetime: 7 // $97282,James D'Silva (8/2015),-,All Clear,Green: Good condition - no or minimal issues noticed,10-Dec-15,Advance Inspection: inspection conducted days or couple of weeks prior to an arrival: Advanced :all good,-,-,-,-,-,-,107825,Mystique,Anguilla,Edward Puglia,BLUEWAY - Sheriva Estates (Luxury Villa Hotel),2006,-,30% non refundable if canceled within 75 days of arrival. 100% non refundable during holidays,22%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107825,Mystique,Anguilla,Edward Puglia,BLUEWAY - Sheriva Estates (Luxury Villa Hotel),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107828,Casa Kash,Cabo San Lucas,Diana Soler,BLUEWAY – Dan Kash,Unnamed Road Baja California Sur Cabo San Lucas Mexico 23453,3507,Lifetime: 11 // $42187,Daniela Corona (9/2015),-,All Clear,Green: Good condition - no or minimal issues noticed,20-Feb-16,Welcome Inspection: inspection conducted the day of an arrival couple of hours prior to guest check-in: Toiletries and matching hangers,-,-,-,-,-,-,107828,Casa Kash,Cabo San Lucas,Diana Soler,BLUEWAY – Dan Kash,2006,-,25% non refundable if canceled within 75 days of arrival. 100% non refundable during holidays,25%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107828,Casa Kash,Cabo San Lucas,Diana Soler,BLUEWAY – Dan Kash,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107838,Villa La Gran Tortuga,Riviera Maya,Diana Soler,BLUEWAY - Villa La Gran Tortuga,Unnamed Road  Quintana Roo Playa Secreto Mexico 77710,3505,Lifetime: 84 // $245930,Grant Needham (4/2016),-,All Clear,Yellow: Minor villa condition issue(s) that can be controlled/fixed easily,09-Jan-16,"Guest survey or other feedback received: welcome:all good
hangers not matching and missing LRI toiletries",-,-,-,-,-,-,107838,Villa La Gran Tortuga,Riviera Maya,Diana Soler,BLUEWAY - Villa La Gran Tortuga,2006,-,40% non refundable if canceled within 95 days of arrival. 100% non refundable during holidays,20%,"50% Deposit, Full payment 85 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107838,Villa La Gran Tortuga,Riviera Maya,Diana Soler,BLUEWAY - Villa La Gran Tortuga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107843,Three Cays Villa,Turks and Caicos,Mike Rollins,BLUEWAY - Three Cays Villa,Bristol Hill Road Turks and Caicos Providenciales British West Indies TKCA 1ZZ,3500,Lifetime: 47 // $112559,Mark Fitzpatrick (1/2016),-,All Clear,Green: Good condition - no or minimal issues noticed,28-Apr-16,"Advance Inspection: inspection conducted days or couple of weeks prior to an arrival: advance:property is in good condition
-shower rod to be painted and ironing boardcover to be replaced.",-,-,-,-,-,-,107843,Three Cays Villa,Turks and Caicos,Mike Rollins,BLUEWAY - Three Cays Villa,2006,-,25% non refundable if canceled within 75 days of arrival. 100% non refundable during holidays,25%,"50% Deposit, Full payment 140 days prior to arrival during holiday season and 65 days prior to arrival during non holiday season",-,-,-,-,-,-,-,-,-,-,107843,Three Cays Villa,Turks and Caicos,Mike Rollins,BLUEWAY - Three Cays Villa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107862,(P)Villa Lucero,Cabo San Lucas,Diana Soler,Luxury Villa Collections,No address on file,25,Lifetime: 3 // $3919,Kathleen Moshonas (12/2015),-,All Clear,Orange: Impactful issues were noticed at the property that would require labor to be resolved,14-Jan-16,Onboarding Inspection: Inspection conducted to qualify if the property fits the portfolio. This occurs prior to listing: Construction next door,-,-,-,-,-,-,107862,(P)Villa Lucero,Cabo San Lucas,Diana Soler,Luxury Villa Collections,2005,-,20% non refundable if canceled within 75 days of arrival. 100% non refundable during holidays,20%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107862,(P)Villa Lucero,Cabo San Lucas,Diana Soler,Luxury Villa Collections,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107863,OTR - Villa Cosmica,Puerto Vallarta,Diana Soler,BLUEWAY - Villa Cosmica,No address on file,3487,Lifetime: 14 // $23207,Frederick Bouari (4/2016),-,"QUALITY STANDARDS: Property outdated, not clean, lacks hot water. Inspector and guests (2) agree property is not luxurious. Consider for removal. ETA END: UFN",Orange: Impactful issues were noticed at the property that would require labor to be resolved,09-Jan-16,"Welcome Inspection: inspection conducted the day of an arrival couple of hours prior to guest check-in: issues with water, outdated property, outdated bathrooms, bedding needs upgrading, toilet seats need replacing, oven needs replacing, missing extra pool towels, missing garbage bags, missing dish soap and paper towels, missing hair dryers, bedding needs upgrading",-,-,-,-,-,-,107863,OTR - Villa Cosmica,Puerto Vallarta,Diana Soler,BLUEWAY - Villa Cosmica,2006,-,25% non refundable if canceled within 125 days of arrival. 100% non refundable during holidays,23%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107863,OTR - Villa Cosmica,Puerto Vallarta,Diana Soler,BLUEWAY - Villa Cosmica,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107868,Abby,St. Barts,Edward Puglia,Ici et la Villas,D209 Saint Barthelemy Marigot France,501,Lifetime: 1 // $1343,-,-,All Clear,-,-,-,-,-,-,-,-,-,107868,Abby,St. Barts,Edward Puglia,Ici et la Villas,2003,-,100% non refundable,20%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107868,Abby,St. Barts,Edward Puglia,Ici et la Villas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107870,Villa Patricia,Puerto Vallarta,Diana Soler,BLUEWAY - Villa Patricia / Casa Caleta,Unnamed Road  Jalisco Puerto Vallarta Mexico 48335,3486,Lifetime: 23 // $60920,Dominic Lachapelle (1/2016),-,All Clear,Yellow: Minor villa condition issue(s) that can be controlled/fixed easily,14-Oct-15,"Guest survey or other feedback received: many small issues - stains, toilet seat, toiletries, needs cleaning, etc.",-,-,-,-,-,-,107870,Villa Patricia,Puerto Vallarta,Diana Soler,BLUEWAY - Villa Patricia / Casa Caleta,2006,-,25% non refundable if canceled within 75 days of arrival. 100% non refundable during holidays,23%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107870,Villa Patricia,Puerto Vallarta,Diana Soler,BLUEWAY - Villa Patricia / Casa Caleta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107932,South Beach,Maui,Edward Puglia,BLUEWAY - South Beach Villa,No address on file,3466,Lifetime: 160 // $977004,-,-,All Clear,Green: Good condition - no or minimal issues noticed,20-Dec-15,Welcome Inspection: inspection conducted the day of an arrival couple of hours prior to guest check-in: Inspection report completed. All good except toiletries replaced by LC.,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,107932,South Beach,Maui,Edward Puglia,BLUEWAY - South Beach Villa,2006,-,30% non refundable if canceled within 75 days of arrival. 100% non refundable during holidays,30%,"50% Deposit, Full payment 65 days prior to arrival",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,107932,South Beach,Maui,Edward Puglia,BLUEWAY - South Beach Villa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Details,107933,(P) Calypso Shores,Jamaica,Edward Puglia,BLUEWAY - Calypso Shores,No address on file,3466,Lifetime: 37 // $55929,Patrick Thibaudeau (6/2015),-,All Clear,Green: Good condition - no or minimal issues noticed,19-Mar-16,"Guest survey or other feedback received: welcome:property is in good condition.
minor issue:stove is not working properly but being repaired, some construction work down the street but will not affect guests. low seaweed but is raked.",-,-,-,-,-,-,107933,(P) Calypso Shores,Jamaica,Edward Puglia,BLUEWAY - Calypso Shores,2006,-,25% non refundable if canceled within 75 days of arrival. 100% non refundable during holidays,23%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107933,(P) Calypso Shores,Jamaica,Edward Puglia,BLUEWAY - Calypso Shores,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,107936,Ebb Tide,St. John,Edward Puglia,Catered To,Unnamed Road  St. John Chocolate Hole USVI 00830,3464,Lifetime: 12 // $9370,-,-,All Clear,-,-,-,-,-,-,-,-,-,107936,Ebb Tide,St. John,Edward Puglia,Catered To,2003,-,100% non refundable,20%,"50% Deposit, Full payment 80 days prior to arrival",-,-,-,-,-,-,-,-,-,-,107936,Ebb Tide,St. John,Edward Puglia,Catered To,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
